nombre_unidad,razon_social,scian_codigo,scian_descripcion,estrato_personal,municipio,estado,colonia,telefono,www,source_url,source_date,exclusion_anexo_a
CALZADO BY KAROSSO,MANUFACTURERA DE CALZADO BY KAROSSO,316211,Fabricación de calzado con corte de piel y cuero,101 a 250 personas,San Francisco del Rincón,Guanajuato,CUAUHTEMOC,,,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
CALZADO CONDORIN,COMERCIALIZADORA DE CALZADO CONDORIN,316211,Fabricación de calzado con corte de piel y cuero,101 a 250 personas,León,Guanajuato,CAMPESTRE SAN JOSÉ,,,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
CALZADO COQUETA,CALZADO COQUETA,316211,Fabricación de calzado con corte de piel y cuero,251 y más personas,León,Guanajuato,CENTRO,,WWW.TIENDA.COQUETAYAUDAZ.COM.MX,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
CALZADO ELEFANTE,FABRICA DE CALZADO PLASCENCIA,316211,Fabricación de calzado con corte de piel y cuero,251 y más personas,León,Guanajuato,SAN NICOLAS,,WWW.ELEFANTE.COM.MX,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
CALZADO ENSUEÑO,MANUFACTURERA DE CALZADO ENSUEÑO,316211,Fabricación de calzado con corte de piel y cuero,101 a 250 personas,León,Guanajuato,INDUSTRIAL DELTA,,,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
CALZADO FISH,DISEÑO EN CALZADO DE LEON,316211,Fabricación de calzado con corte de piel y cuero,251 y más personas,León,Guanajuato,INDUSTRIAL LA CAPILLA,,WWW.CALZADOFISH.COM,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
CALZADO FROA,CALZADO FROAA,316211,Fabricación de calzado con corte de piel y cuero,101 a 250 personas,León,Guanajuato,CIRCUITO PASEO DELAS MAGNOLIAS,4777192540,,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
CALZADO JENNY,,316211,Fabricación de calzado con corte de piel y cuero,101 a 250 personas,León,Guanajuato,CENTRO BODEGUERO LAS TROJES (BODEGAS),,,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
CALZADO LOBO,CALZADO LOBO,316211,Fabricación de calzado con corte de piel y cuero,101 a 250 personas,León,Guanajuato,LA LUZ,,,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
CALZADO MG,CALZADO MG,316211,Fabricación de calzado con corte de piel y cuero,101 a 250 personas,León,Guanajuato,SAN MIGUEL,,,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
