no,nombre_instalacion,estado,anio_vigencia,tipo_certificado
616,"TORRES MAZATLÁN, S.A. DE C.V.",Sinaloa,2026,Calidad Ambiental Turistica
617,"PRODUCTOS AUTOMOTRICES, S.A. DE C.V. (SUCURSAL NUEVO CASAS GRANDES)",Chihuahua,2026,Calidad Ambiental
618,"USG MÉXICO, S.A. DE C.V. (PLANTA TECOMÁN)",Colima,2026,Industria Limpia
619,"COMPAĄÍA EMBOTELLADORA DEL FUERTE, S. DE R.L. DE C.V. (PLANTA CUAUHTÉMOC)",Chihuahua,2026,Industria Limpia
620,"AEROPUERTO DE MANZANILLO, S.A. DE C.V.",Colima,2026,Calidad Ambiental
621,"HOTELES EL CID MAZATLÁN, S.A. DE C.V. (HOTEL MARINA EL CID)",Sinaloa,2026,Calidad Ambiental Turistica
622,"ESTRATEGIAS AMBIENTALES DEL NORTE, S.A. DE C.V.",Chihuahua,2026,Industria Limpia
623,"CFE DISTRIBUCIÓN, GERENCIA GOLFO CENTRO, ZONA SAN LUIS POTOSÍ, SUBESTACIONES BOCA, COLINAS, LOGISTICK, SAN PEDRO, PEĄASCO, SATÉLITE, TRES NACIONES, TANGAMANGA, VILLA DE REYES Y JULIAN CARRILLO.",San Luis Potosi,2026,Calidad Ambiental
624,"PRAXAIR MÉXICO, S. DE R.L. DE C.V. (PLANTA TORREÓN)",Durango,2026,Industria Limpia
625,"CFE DISTRIBUCIÓN, GERENCIA GOLFO CENTRO, ZONA VALLES, SUBESTACIONES EL COCO, MUSEO Y AXTLA",San Luis Potosi,2026,Calidad Ambiental
626,"CFE DISTRIBUCIÓN, GERENCIA ORIENTE, ZONA VERACRUZ, SUBESTACIONES AEROPUERTO, BRISAS, SACRIFICIOS, SANTA FE Y TAMARINDO II.",Veracruz,2026,Calidad Ambiental
627,"COMISIÓN FEDERAL DE ELECTRICIDAD, SUBDIRECCIÓN DE GENERACIÓN, CRP NOROESTE, CENTRAL FOTOVOLTAICA SANTA ROSALÍA",Baja California Sur,2026,Industria Limpia
