no,nombre_instalacion,estado,tipo_certificado
92,"COMISIÓN FEDERAL DE ELECTRICIDAD, SUBDIRECCIÓN DE GENERACIÓN, CRP NOROESTE, CENTRAL HIDROELÉCTRICA 27 DE SEPTIEMBRE (EL FUERTE)",Sinaloa,Industria Limpia
93,"CFE TRANSMISIÓN, ZONA DE TRANSMISIÓN LAGUNA (SUBESTACIONES ELÉCTRICAS NAZAS, GOMEZ PALACIO Y LERDO)",Durango,Calidad Ambiental
94,"ELECTRÓNICA REYNOSA, S. DE R.L. DE C.V.",Tamaulipas,Industria Limpia
95,"UNIVERSIDAD LA SALLE, A.C. UNIDAD I CONDESA, UNIDAD II CONDESA, FACULTAD MEXICANA DE MEDICINA",Distrito Federal,Calidad Ambiental
96,"FÁBRICA NACIONAL DE LIJA, S.A. DE C.V. PLANTA II",Distrito Federal,Industria Limpia
97,"CFE DISTRIBUCIÓN, GERENCIA NOROESTE, ZONA MAZATLÁN, SUBESTACIONES ESCUINAPA, AEROPUERTO, TECNOLÓGICO, MARINA, MAZATLÁN CENTRO Y DEL MAR",Sinaloa,Calidad Ambiental
98,"PROPIMEX, S. DE R.L. DE C.V. (CENTRO DE DISTRIBUCIÓN IGUALA)",Guerrero,Calidad Ambiental
99,"CFE DISTRIBUCIÓN, GERENCIA CENTRO OCCIDENTE, ZONA MORELIA, SUBESTACIÓN QUINCEO",Michoacan,Calidad Ambiental
100,"EFFEM MÉXICO INC. Y COMPAĄÍA, S. EN N.C. DE C.V. (MARS MÉXICO PLANTA QUERÉTARO)",Queretaro,Industria Limpia
101,"MANTENIMIENTO INTEGRAL FINSA, S.A. DE C.V. (PARQUE INDUSTRIAL FINSA AGUASCALIENTES)",Aguascalientes,Calidad Ambiental
102,"CFE DISTRIBUCIÓN, GERENCIA CENTRO SUR, ZONA ATLACOMULCO, SUBESTACIÓN SAN FRANCISCO DE LOS REYES",Michoacan,Calidad Ambiental
103,"CFE DISTRIBUCIÓN, GERENCIA BAJÍO, ZONA SAN JUAN DEL RÍO, SUBESTACIÓN CORONEO",Guanajuato,Calidad Ambiental
104,"PROTEÍNA ANIMAL, S.A. DE C.V. (CEPRO CENTRO DE PROCESAMIENTO)",Jalisco,Industria Limpia
105,INSTITUTO NACIONAL DE ESTADÍSTICA Y GEOGRAFÍA (COMPLEJO SEDE DEL INEGI),Aguascalientes,Calidad Ambiental
106,"CFE DISTRIBUCIÓN, GERENCIA CENTRO ORIENTE, ZONA PACHUCA, SUBESTACIÓN HIDALGO",Hidalgo,Calidad Ambiental
107,"CFE DISTRIBUCIÓN, GERENCIA CENTRO ORIENTE, ZONA TULA, SUBESTACIÓN PARQUE INDUSTRIAL TEPEJI",Hidalgo,Calidad Ambiental
108,"CFE DISTRIBUCIÓN, GERENCIA CENTRO ORIENTE, ZONA TULA, SUBESTACIÓN SANTIAGO TLAUTLA",Hidalgo,Calidad Ambiental
109,"CFE DISTRIBUCIÓN, GERENCIA PENINSULAR, ZONA TIZIMIN, SUBESTACIÓN HOLBOX",Quintana Roo,Calidad Ambiental
110,"INGENIO SAN FRANCISCO AMECA, S.A. DE C.V.",Jalisco,Industria Limpia
111,"M&G POLÍMEROS MÉXICO, S.A. DE C.V.",Tamaulipas,Industria Limpia
112,"FORD MOTOR COMPANY, S.A. DE C.V., PLANTA DE ENSAMBLE DE BATERIAS",Distrito Federal,Industria Limpia
113,"CFE DISTRIBUCIÓN, GERENCIA GOLFO CENTRO, ZONA HUEJUTLA, SUBESTACIONES CRUZ DE ATAQUE Y MOLANGO",Hidalgo,Calidad Ambiental
114,"CFE DISTRIBUCIÓN, GERENCIA NORTE, ZONA CUAUHTÉMOC, SUBESTACIÓN NICOLÁS BRAVO",Chihuahua,Calidad Ambiental
115,"LEAR MEXICAN TRIM OPERATIONS, S. DE R.L DE C.V., PLANTA ASCENSION",Chihuahua,Industria Limpia
116,"LEONI CABLE, S.A. DE C.V.",Chihuahua,Industria Limpia
117,"CFE DISTRIBUCIÓN, GERENCIA GOLFO CENTRO, ZONA HUEJUTLA, SUBESTACIÓN HUEJUTLA II.",Hidalgo,Calidad Ambiental
118,"CFE DISTRIBUCIÓN, GERENCIA GOLFO CENTRO, ZONA TAMPICO, SUBESTACIONES OZULUAMA, NARANJOS, PANUCO Y LINDA VISTA II",Veracruz,Calidad Ambiental
119,"CONVERTORS DE MÉXICO, S. DE R.L. DE C.V. (PLANTA I)",Chihuahua,Industria Limpia
120,"CFE DISTRIBUCIÓN, GERENCIA NORTE, ZONA DURANGO, SUBESTACIÓN QUINCE DE OCTUBRE",Durango,Calidad Ambiental
121,"CFE DISTRIBUCIÓN, GERENCIA NORTE, ZONA DURANGO SUBESTACIONES: CANATLÁN DOS, GUADALUPE VICTORIA UNO Y SANTIAGO PAPASQUIARO",Durango,Calidad Ambiental
122,"CFE DISTRIBUCIÓN, GERENCIA NORTE, ZONA PARRAL, SUBESTACIONES: VILLA LÓPEZ, BOLÍVAR Y SANTIAGO UNO",Chihuahua,Calidad Ambiental
123,"CFE DISTRIBUCIÓN, GERENCIA NORTE, ZONA CHIHUAHUA, SUBESTACIÓN OJINAGA.",Chihuahua,Calidad Ambiental
124,"CFE DISTRIBUCIÓN, GERENCIA NORTE, ZONA CHIHUAHUA, SUBESTACIONES: CONCORDIA, TABALAOPA, ALDAMA, CAROLINAS, COMPLEJO INDUSTRIAL, FUENTES MARES, HACIENDAS, OCAMPO, PALOMAR, CHIHUAHUA PLANTA, CHIHUAHUA PONIENTE, NUEVA HOLANDA, OASIS, ROBINSON, TRES HERMANOS Y EL TRÉBOL",Chihuahua,Calidad Ambiental
125,"GALLETERA ITALIANA, S.A. DE C.V.",Puebla,Industria Limpia
